username,rating,time,votes,comment,情感标签,情感置信度,文本语言,分析状态
lefovm,5,2024-11-08 13:29:21,82,居然是豆瓣上第一个短评，院线版新增的一个彩蛋很惊喜，选择了纽约的街景不知道和谏山创的Anime NYC之行有没有关系。在这个残酷美丽的世界，谢谢你为我围上围巾🧣｜ＴＯＨＯシネマズ新宿,positive,0.8765,zh,成功
🔒NANIMONO🔒,3,2025-03-01 18:21:02,4,#MCL德福#没有美高的部分会更好，如果只看原版还能因为谏山创笨拙的把自己和艾伦代入而略有理解，美高的部分就是仿照当下影视作品meta化来让观众纯一笑而过，但这还想再挽尊一般的做法只会把结局这段心路历程更祛魅,negative,0.8765,zh,成功
zhong可乐,5,2024-11-08 23:07:01,50,立刻献出心脏了，巨人是唯一一部不管怎么重编重剪炒冷饭我都可以充满期待看无数遍的作品，大家一定都在另一个时空好好的生活吧。,positive,0.9876,zh,成功
南宫非攻,3,2025-01-05 17:01:12,12,艾伦地鸣之后的总集篇，原本合集就一律三星，更别提这还是脑残叛变小分队去诛杀艾伦的合集，不扣星就已经很不错了。,negative,0.8543,zh,成功
伊利丹,5,2024-11-09 14:29:30,60,看完以后，觉得应该从头开始再剪一遍。,negative,0.7236,zh,成功
Drifter,5,2025-01-18 18:11:57,23,韓吉對著阿尼喊「下次見」時立刻忍不住淚崩了⋯⋯三刷，這是首處牽動我淚腺的細節。｜寫了數次：進巨最高光的一點就是能摒棄宏大的概念，回歸人類心底最柔軟的惻隱，你也可以說那叫做「人道主義」，但我覺得「主義」這個詞依然寬泛，我覺得人類只需去不斷發現並單純地承認：我們具備更細小卻有力的感情。面對「既然終究會死那麼努力求生又有何意義」這樣無懈可擊的邏輯，放棄辯解自證與形容，只是讓Armin做出了最原始的反應——有多少人於是隨之想起自己的那片葉子、那顆棒球，想起故意輸掉的比賽和無論如何也玩不夠的心愛遊戲？那麼Mikasa究竟是為什麼能親手斬下自己保護了一輩子的人的頭，也就不言而喻。｜全程和大家一起又哭又笑。沒想到School Caste會作為彩蛋在完結篇釋出，雖是很傻的情懷砲彈，但粉又怎能不願被轟炸呢。,positive,0.9876,zh,成功
一只充眠宝,5,2025-01-21 14:13:47,10,捧着香港首场特典就开始哭，从韩吉哭到吼猴，终于也在大荧幕上看到今天天气真好了。喜欢片尾彩蛋，ema你们三个把日子一起过好比什么都强别单拆你那异性恋和竹马了。看到清洁工李伟扫影院还是又哭了。,positive,0.9568,zh,成功
Doublebitch,5,2024-12-15 11:12:59,29,他割任他割 反正韭菜多,negative,0.8765,zh,成功
画戟,5,2025-06-09 16:30:31,1,我也很喜欢浪漫。 但我更喜欢安安静静，踏踏实实的生活。,positive,0.8543,zh,成功
Panda的影音,5,2025-03-25 23:05:14,16,彩蛋台配版 …… -米卡莎：我覺得是部很棒的作品。雖然真的是一個相當漫長的故事，但伏筆都有確實的回收，和登場的角色們也都有好好道別了。 -阿爾敏：是喔。這是因為米卡莎妳都沒有在看討論區吧？……謎團根本都沒解開啊！該怎麼說？太符合觀眾的預測了。一般來說會從正面意義上給出一些超乎觀眾預料的東西吧？ -米卡莎：是因為…有可能是作者故意不把劇情說死，這樣才能讓觀眾留下想象空間；也可能是刻意收得簡潔明瞭，比方說偶爾也是有人身上帶著缺點反而更容易讓人親近他啊！你不能否認吧？ -阿爾敏：開什麼玩笑？這種解釋怎麼可能消解我滿肚子的疑問跟不滿，我可是等這個結局等了好久了，為了這一天等了整整十年。不然艾連你是怎麼評價的？ …… -艾連：我覺得…能跟你們一起看電影我覺得很開心。如果之後還有續集的話 再約一約，一起去看吧！ ……,neutral,0.6543,zh,成功
Nomass,5,2025-06-08 23:41:20,2,彩蛋。 如此反差的小太妹三笠似乎是用来展示一个突破了宿主限制的人设，但又何尝不是一种迎合身份的虚有其表？ 以及，直抒胸臆的存在主义。,neutral,0.6543,zh,成功
Miss Filbert,5,2025-06-14 13:53:41,1,唉唉，难道我们献出心脏只是为了去践踏别人的心脏吗,negative,0.8764,zh,成功
MathaChestnut,5,2025-01-16 14:30:10,24,2025.1.16 11:00 Festival Grand Cinema（又一城） 依然被感动、被震撼，我仿佛就是为了看到这样的作品才诞生在世界上！😭美高彩蛋太可爱了🥳🍿,positive,0.9876,zh,成功
荷兰豆,5,2025-06-04 13:13:52,2,借主角之口说出作者对观众说的话 真有你的,negative,0.7236,zh,成功
碧花生,5,2025-04-04 16:03:52,1,完结篇总集+美高彩蛋。「能和你们一起看电影很开心，如果有续作的话，再一起去看吧。」,positive,0.8765,zh,成功
知识知识知,5,2025-02-11 13:19:51,10,当代的战争与和平,neutral,0.5,zh,成功
r8thm,5,2025-06-09 20:05:19,2,没想到是这样的结局，这部动漫的走向越来越让它成为一部让人难忘的作品，一开始以为是简单的与巨人战斗保卫家园的故事，原来是说人类那永无止境的循环,positive,0.8765,zh,成功
颍原真吾,5,2025-04-02 18:13:50,3,也许我出生就是为了我们三个人玩捉迷藏？,neutral,0.6543,zh,成功
Pop Quizzer,2,2025-09-14 09:39:42,0,没看前几集，剧情一头雾水,negative,0.8763,zh,成功
醉梦·聊生,3,2025-10-27 18:49:46,0,巨人之间的战斗，像僵尸一样的地鸣，踩死了地上八成的人类，艾莲与调查军团，一个自由的奴隶用自己的死成全了大家的英雄一击，明知未来的颓丧，剩下的两成人类一样会有不会完结的战斗，未看过剧集，很难有三人情谊而带来的感动。,negative,0.7568,zh,成功
Kavanish,4,2024-11-09 18:41:31,59,影院坐得很满，很多人都哭了，再看最终季，只觉得韩吉的死处理得壮烈残酷又温柔，作者给了韩吉和艾尔文非常圆满而有尊严的死亡。虽然主角三人组很莫名其妙，但调查兵团和以莱纳为代表的马莱线还是相当令人动容。,positive,0.7568,zh,成功
lOoK At mE,5,2024-11-22 08:30:28,10,一年后再体验，敬佩其同时展开多个层次议题的勇气；前后篇整体感觉采用了一种新的阴影画法，不那么规则了；声音的重制很用心，三间不愧是从剧场版做上来的,positive,0.9567,zh,成功
E.V.E,5,2024-11-08 20:42:19,17,10年！一起走过,positive,0.8765,zh,成功
夏日终年,4,2025-01-10 00:26:25,22,追求自由的人，最终都会人头分离。,negative,0.9567,zh,成功
santawhale,5,2025-09-01 21:33:26,0,这啊那的其实一到野鸽围围巾我就又不中了,negative,0.7568,zh,成功
😄+💧=😅,3,2025-04-15 11:42:15,0,加了个彩蛋,neutral,0.6,zh,成功
dcbyfsdbkkwsx,4,2025-06-12 20:30:56,10,艾伦打破了尤弥尔的奴隶枷锁，三笠砍断了尤弥尔的恋爱脑。,positive,0.8765,zh,成功
ripley,未评分,2025-03-23 12:06:30,0,落幕,neutral,0.5,zh,成功
Steve,5,2024-11-09 20:17:49,63,周围一圈九宫格哭的稀里哗啦的，个人因为看太多遍了已经毫无波澜了，但是能在电影院看巨人，也是完成了人生愿望清单的又一项。,positive,0.8567,zh,成功
peeman,未评分,2024-12-05 23:11:23,1,总集篇,neutral,0.8,zh,成功
潇潇雨歇,1,2025-04-03 20:01:03,6,一群人在为日本人时时刻刻想要毁灭全人类的阴暗、变态想法的集大成之作鼓掌叫好。他们不知道这是在鼓励日本人再犯华夏吗？,negative,0.9876,zh,成功
忍者神猪,5,2024-11-24 00:41:29,43,【涉及剧透】色纸拿到阿尔敏（另外两个人谏山创画的不好看）才看到第五季开头的时候这个突然上了，而且好像只上三周所以就先去看了。感觉可以丝滑地切进去剧情，说实话这个电影只是第六季的总集篇。哭得我特别头晕，从头哭到尾的感觉。看到噶比的时候我觉得我原谅了她，看到她端枪的姿势会幻视萨沙，所以这是一个特别残忍的设定，让萨沙死在另一位年幼的狙击手的手里。这就像是在说仇恨的代际相传所要付出的代价，以及用你最信赖的射击夺走了那么多生命的你最后要面临的因果报应一般。在前面所有剧情的缝隙里填入三笠爱着艾伦的证明，只是想着要去杀你就会流泪的，但是最后的最后也只有她可以去杀你，抱住他的头颅亲吻就像某种宿命意味太重的哥特式爱情。结果在彩蛋的转世里面三笠真的是那种会玩亚文化的哥特阴暗女要命啊。。,,,,失败：Expecting value: line 1 column 1 (char 0
1号游客,5,2025-04-30 22:05:07,1,多了最后一幕的彩蛋，也让主角三人从动漫活在现实，还是最爱你三笠,positive,0.8765,zh,成功
老罗Lazzaro,4,2025-04-24 22:37:12,2,最后的进击，场面调度是真的强。汉吉献出心脏，艾伦vs伙伴们的双自由对抗，而实际是伙伴们对抗着尤弥尔。巨人之力消失，人类的战争与对抗依旧持续。三笠真孤独啊。,positive,0.8567,zh,成功
誒嘿嘿教主,5,2025-01-31 15:32:35,2,IMAX厅大银幕也太过瘾了吧,positive,0.9876,zh,成功
Reven,4,2025-06-14 09:19:25,2,如果不是最后的彩蛋我会以为我下错了，这剧情跟上部不是一模一样吗。,negative,0.8764,zh,成功
必烈,4,2025-01-18 14:16:26,25,给青春一个体面的告别。 ①文戏简直灾难性，什么心里话都往外说，这要搁姜文评价就是“最差的台词”；②谏山创和编剧明显信宗教，对什么燃烧的大海有迷一样的执念；③最后一段加的好，终于把艾伦动机说出来了。作为日本立场，灭掉80％人类让人口平衡是折中办法，但其实把外人杀光只留日本人都没问题，问题是谏山创不敢这么写🤣④彩蛋明说了巨人就是隐喻核弹，可以说是巧妙的把核弹创伤用作品包装出来了，要是搁现实主义大家才不会这么跟着你的想法走。 总体说是对日本文化研究的好范本。,,,,失败：Expecting value: line 1 column 1 (char 0
凯撒不爱我,未评分,2025-02-09 22:31:05,0,在大银幕上看到真是令人感动。只可惜到结尾，兵长已经不能再贡献任何华丽的砍猴了，兵长好可怜😭,positive,0.7568,zh,成功
起个名怎么老虫,3,2024-12-07 07:59:29,6,十年剪辑片 感动人心的故事 影院大屏,positive,0.8765,zh,成功
钱坤一,4,2024-11-18 16:58:53,40,因为被朋友拉着一起看这部总集篇剧场版，一口气补了漫画。电影也是以知道地鸣发动之前的故事为前提。战斗场面在电影院看效果还可以。韩吉舍身阻挡地鸣巨人那段朋友哭得好大声（ 相比漫画，动画还让我留下印象的是，在悬崖上只有婴儿是彩色的。最后艾伦和阿尔敏的对话改动也不错。正片结束，时光流逝，一转“现代”的转世三人走出电影院讨论本作的感想，这段结尾是朋友不太满意我却很喜欢的部分。艾伦说只要和大家一起看就很好了，和我走出电影院的心情呼应了。尽管人类不会停止争斗，能安心享受电影院的生活就是美好的。,,,,失败：Expecting value: line 1 column 1 (char 0
Reposado,5,2025-04-15 21:53:02,2,看点好的 能和你们一起看电影就很幸福了 突然有点好奇谏山创做为一个生活在二十一世纪和平时代的人是怎么关心到且能写出战争这种明显脱离作者现实日常生活这种属于20世纪上半叶的题材的？（很久之后的答案：也许他不懂战争但是懂人性仇恨，用战争的载体去装仇恨） 还有就是三笠身上的刚强勇武和贤妻良母如何共存？整装提刀的三笠和坐在树下的三笠如何是同一个人？这两者放到现实中应该是矛盾的,neutral,0.6543,zh,成功
牧医见侍卫,5,2025-08-28 18:48:52,0,-9.5分,positive,0.9987,zh,成功
拉撒路,5,2025-05-12 03:23:31,1,残酷的轮回人们无法终结，我能做的只是对当下的幸福知足，并对永恒抱以盼望。 我们如今仿佛对着镜子观看，模糊不清，如同猜谜，到那时，就要面对面了。我如今所知道的有限，到那时就全知道，如同God知道我一样。 我今天才是给进击的巨人这部作品在我心中真正的画上句号，此刻心中有满足、有感动、有顿悟也有孤独与悲凉，更有喜乐与盼望！,positive,0.9568,zh,成功
颜落寒,4,2025-03-30 15:13:01,0,主要是补一下彩蛋，还蛮意味深长的🤣,positive,0.8564,zh,成功
treenametree,未评分,2025-01-12 00:07:21,3,哭了一个小时。最喜欢的结局。我们向未来走去，地狱向我们走来。,positive,0.8567,zh,成功
懿然,5,2025-04-29 21:54:35,1,90分。,positive,0.85,zh,成功
24,3,2025-03-07 21:03:51,0,來到終篇了，坐在4dx的影院，座椅隨著銀幕上立體機動裝置的走向而晃動，也算滿足了初一夏天我的願望：好想學會立體機動裝置到處飛！當初在艾蓮倒立苦練的時候我也暗暗使勁，訓練兵氣體耗盡直面巨人的時候我也一樣恐慌，那時候最喜歡三笠又強又颯，總是很有餘裕地戰鬥，也真切地夢想過成為他們的一員，去海的那邊···突然好想回到過去，這麽多年過去一切都變了，原來未來一點都不值得期待。但是，就這樣一直前進下去，戰鬥吧！,positive,0.8765,zh,成功
花束,3,2025-05-31 22:34:43,1,属于是中二动漫里比较有深度的，因此缺点也比较突出，就是中二。作者设置的世界观和野心难以由他的人物塑造和整体把控力支撑起来，所以人物的行为并不是被命运推动，而是被作者的意图推动，使得人物中二得不得了，并且作者试图用理智上的政治正确掩饰他情感上对于人类的某种微妙的厌恶。节奏拖沓和故作深沉让人觉得已经超过了合理的范畴。,negative,0.8765,zh,成功
原野奔号,5,2024-12-24 18:54:15,3,不看巨人的素质品味修养都比较低,negative,0.8543,zh,成功
暴殄天物,5,2025-10-18 08:31:13,0,就是前篇和后篇的合体剧场版。多了一个片尾彩蛋，像是结尾不尽人意的一个多余的解释和宽慰。,negative,0.7236,zh,成功
叉叉小箭猪,5,2025-08-19 05:35:07,0,虽然用宿命论去解释是一种圆不上只能强行圆的手法，但三笠刀下去的那一刻，我能觉得是谏山创的初始想法，倒也解释得通。只是说，循环这种命理嘛。彩蛋很好，这就应该是我们开放的心态。,positive,0.7568,zh,成功
今ヶ瀬,5,2025-02-11 10:55:56,1,Regal Union Square 跟这一切和解了。「私は無知で愚かで、世界は理不尽で狂っている。 」その物語も。私も。,negative,0.7568,ja,成功
小鬼Bono,3,2025-04-22 00:05:28,0,在最大程度具现化漫画的基础上的“本手”之作，也承袭了漫画在画工、人物、情节上的缺陷种种。,negative,0.7568,zh,成功
小莫莫呀呀,5,2025-07-25 23:46:45,0,人类总是那么贱,negative,0.9562,zh,成功
半澤直叔,5,2025-02-12 12:28:48,2,北美乡村刚上映，电影院里基本民族大熔炉，亚裔反而不多，真·出圈。为最后两分钟彩蛋的醋包了2个半小时的总篇集大饺子。“那种事情不要啊”的时候全场充满了快活的空气。,positive,0.8567,zh,成功
ᵀ ᴬ ᴺ ᵀ ᴬ ᴺ,4,2025-04-24 16:26:47,1,就是最终完结篇的前篇和后篇连起来做成的电影，追了十年巨人对这个结局还算满意吧，问题在于画面崩坏有点多。正如片尾艾伦所说，他试过很多种方法也改变不了结局，只有杀掉80%人让伙伴变成阻止他的英雄才能停止战争，让他这种蠢蛋拥有强大力量，对他本人来说是折磨。男主变反派，最后一杀普通人全变巨人，让三笠亲手杀了艾伦太残忍了，结局巨人力量消失，大家也变回普通人，曾经死去的的人影再现也是种慰藉。和平了一段时间，三笠直到死也带着那条围巾，多年后战争又开始，男孩走进埋葬艾伦的树洞，巨人新的轮回又开始。加了彩蛋，未来的三人在电影院看完电影结束讨论着结局。,neutral,0.6543,zh,成功
常官鱼鱼,未评分,2024-11-14 03:34:09,1,池袋看的，工作日下午，影院除了前四排都是满员。1.同去友人提出，弗洛克死亡分镜没剪辑有张力版本略遗憾。2.前两章总体好于后两章。韩吉牺牲，感谢艾伦消灭巨人之力（你这不是胡扯），砍头那儿绷不住狂笑，重看仍然是毫无意义的桥段。jsc垂“死”挣扎，不是写以浓墨感情就能掩盖。艾伦和阿明的谈话应该在飞行艇以道路结束，带着强烈地辖制和惊恐，两人最终失去了和解的全部可能，互相留存的应只有过去尚未面对真正难题前的惺惺相惜。三笠听到艾伦在非平行世界的最后一句话是“我非常讨厌你”。（艾伦最后充满爱意的眼神也删掉了，知道吃妈巨真相的阿明镜头也过短）作品虽然名义上结束了，但对其解读仍可进击。后半程实在过于“无奈”。3.巨人仍然完成度较高，作者水平超高，值得反复阅读观看和思考。影院巨大声音击穿我的身体！战争巨帅啊！地鸣效果好,positive,0.7568,zh,成功
DINGAYIN,5,2025-01-26 17:20:58,0,電影版最後的結尾太棒了。,positive,0.9876,zh,成功
复活的金属狗熊,1,2025-06-27 10:24:00,1,问：为什么巨人的口碑在21年烂尾之后，现在突然回升了，豆瓣还能有9分的高分？ 答：因为没热度了，粉丝都提纯了，现在就一小圈子报团取暖，风评就被扭回来了呗。对巨人失望的大多人已经不关注巨人了，结果就剩下一群过度解读的粉丝在高强度做时空警察对线,negative,0.8765,zh,成功
Manatsu,5,2024-11-11 22:41:12,9,呜呜呜呜我也是9号厅，哭累了呜呜呜呜呜呜呜（mikasa变misamisa了，好可爱啊,positive,0.8567,zh,成功
Puff,5,2025-01-05 18:01:35,6,2022年Part.2完結便覺得完結篇非常適合用劇場版規格收尾，雖然最終還是分成了Part.3和Part.4在小螢幕完結，但如今的總結篇總算順應民意，讓粉絲有機會在大銀幕幫艾連送終，在新年第一週，能在聲光效果包覆感更強的大銀幕體驗完結篇，體驗地鳴音效所帶來的毀滅性震撼，完成身為巨人粉實質意義上的補完，已了無遺憾。劇場版完結篇總集內容無更動，但是在音效升級的情況下電影感便完全凸顯出來了，雖然最終沒以IMAX規格上映終究有些遺憾，但是能再次在大銀幕重溫畫面以及音效上的所有細節，外加片末的原創彩蛋達成戲裡與戲外的交流呼應，完成了身為巨人粉實質意義上的「補完」，看完真有種太他X值得的欣喜感，謝謝你替我圍上圍巾，謝謝創哥和Mappa給了巨人粉絲一次在大銀幕補完的機會，能跟你們一起看電影真的很開心。,positive,0.9987,zh,成功
囍弗斯,4,2025-04-03 21:40:05,0,救命！即使（剧透的网友让）我拥有预知未来的能力，还是在看到最后那莫名其妙的一章时狠狠翻了白眼。。。,,,,失败：Expecting value: line 1 column 1 (char 0
^关于你^,4,2025-05-29 18:46:42,1,如果你硬要生的话，那么：接受世界的不完美，但尽力让它变得更好；即使最终失败，也不要主动放弃所有希望；然后无愧无悔的死去。,positive,0.7568,zh,成功
七天七夜,5,2025-08-30 09:15:58,0,这回终于是真正的完结了。巨人消失了，但战争还在，纷争还在，因为，我们是愚蠢的人类。 watch on Netflix,negative,0.8567,zh,成功
杉杉山,1,2025-04-08 22:57:26,3,右派独有的反思，自以为接受了世界，故作成熟地思考悲剧，却看不到表象之下的历史与逻辑,negative,0.8764,zh,成功
鹅毛,未评分,2025-02-07 23:49:18,0,发现美高彩蛋动画加了个小彩虹旗,positive,0.8764,zh,成功
momo,1,2025-06-02 19:25:20,1,终于看完了，一直听说看到最后就好了，看到后面就好了，就像老太太的裹脚布一样又臭又长，看完只想说 就这？ 啰啰嗦嗦，每集回闪回忆等等真的让人很烦。 好的故事一定是迫不及待的想往下看，巨人是啰嗦拖拉但是说这个剧很厉害所以逼自己看下去，累 唯一好的点是基本上每个人物都花时间刻画了，这就导致这个人物死的时候你会真情实感的感觉到难过，伤心。 画风就不想吐槽了，你以为是一部动漫，实际是个恐怖片，经常搞些恶心人的东西出来吓死你,negative,0.9567,zh,成功
海居,5,2025-05-13 06:06:46,0,神作。没有之一。所谓极致就是如此了。,positive,0.9876,zh,成功
桐原健三kenzo,5,2025-04-05 11:48:43,0,喜欢这个三人结尾,positive,0.8765,zh,成功
抹茶小寒子,5,2024-11-09 14:39:25,14,自己一个人来看真是太好了，因为实在哭的太惨了。。散场出来看到工作人员收爆米花桶，另一边有一些拿着爆米花和可乐等着进场的人，过着平和的日常真是太好了。灯亮起后坐在后面的男生说，これで本当に終わったんだな進撃。🥹😢😭！！！,positive,0.8543,zh,成功
Silence🌸🌸,4,2025-03-03 06:54:34,0,（我是第3000个评价诶）25.3.2 Vue West End 1号小厅还坐挺满的，就是屏幕小，下次要坐前排...其实一直没看TV最近正好有着急兑换的电影票就决定来看了，然后临时恶补八十多集的剧情头晕眼花，还好电影里主要就是打打打说说说，拖了两个半小时也大概看明白了：祸端由女人恋爱脑而起，最后还得靠女人挥泪斩情丝拯救世界，就算拯救了也没用，因为有人类的地方就有无穷的杀戮，但是一代人有一代人的战场吧，壮烈了主要就是图个心安（感觉男二比女主还爱男主啊，这仨人就是相爱相杀的和谐一家吗,positive,0.7568,zh,成功
Konano,3,2025-03-03 11:15:16,0,不看后悔，看了也后悔,negative,0.75,zh,成功
Vincent,5,2025-11-18 01:45:37,0,第二次看，燃得要死也哭得要死，从艾伦说对不起就开始哭，一路哭到结尾。屠龙少年终成恶龙。塔塔开！,positive,0.9567,zh,成功
ELeslie,未评分,2025-02-27 07:25:26,0,为了彩蛋,neutral,0.5,zh,成功
Howllee,4,2025-09-10 17:31:11,0,假设上面的设定成立，墙外的艾尔迪亚人就是如此充满奴性的卑贱民族，那第四季主角团的圣母般的”大义灭亲“仍旧非常不合理。为了拯救世界，屠杀自己所有族人的宇助波鼬的行为如果还能勉强理解；那为了拯救世界，去献祭自己同胞几十万人，去手刃同袍，仍然坚信这是“正义”的圣母，这样的人都恰好聚集在调查兵团主角团里面，就令人难以置信了。 作者想将主角团置于和最开始莱纳潜入墙内一样的境地，但”战士“们一来有亲属做人质，二来有长久的洗脑教育，最后还经历反复退缩甚至精神崩溃才做到这一步的。主角团喊着”等价交换“，就能扯着大义的旗去牺牲岛内的人？为了完成这畸形的英雄壮举还要手刃同袍。如果说因为他们的亲属多半已经葬身巨人之口，立场已经站在大陆人那边，那将岛内同胞全部卖掉这点简直是恶魔行径。 我想不到合理化他们动机,negative,0.9876,zh,成功
电焯人,5,2025-04-22 00:56:40,0,一年了也没啥优化槽点还是很多，但眼睛还是尿尿了。 5250人9.3⭐,negative,0.75,zh,成功
kiki204629,4,2025-03-23 21:18:51,0,完全没看过剧版，还是挺震撼的。,positive,0.8567,zh,成功
咏叹调,5,2025-07-29 22:15:44,0,令人震惊的剧场版…残酷的反战悲歌……,positive,0.8765,zh,成功
Sisyphusurper,5,2025-09-30 19:35:54,0,完结两年后又从头到尾重刷了一遍，于是在这里标记一下 第四季地鸣后的剧情当时不是很喜欢已经印象不深，于是重看又被这些瞬间震撼到，Gabi和Sasha重合的背影，Armin在屋檐上一跃而下，重新换上旧式的调查兵团制服的教官，还有最后韩吉说巨人真是太好了……😭 现在觉得这个结局真的已经很厉害了，最后两方人围着营火的对话，分镜是一片片昏暗的被树枝切碎的天空，死者的意义由生者决定，我们何时能走够出丛林……,,,,失败：Expecting value: line 1 column 1 (char 0
SKY,4,2025-01-26 18:55:17,0,可惡啊戰鬥和文戲還是那麼好看除了海邊ea對話。。,positive,0.8567,zh,成功
罗曼范特西,5,2025-03-29 08:24:31,0,把最终季的完结篇打包成电影在大荧幕上上映是日本动漫公司现今最爱的操作了，多赚一笔的举动也无可厚非。唯一的亮点或许在结尾的彩蛋，原来答案从一开始就已经揭晓了。(动漫第一季第一集标题：献给两千年后的自己…),neutral,0.7563,zh,成功
至尊宝,1,2025-11-09 14:05:03,0,十多年的等待,neutral,0.5,zh,成功
水里没有鱼,4,2025-03-26 17:04:53,0,没看完弃了，以为是新的，不忍看第二遍了,negative,0.8765,zh,成功
小小的你,5,2025-04-12 16:29:41,1,屯门新都英皇，最终特典场。虽然剧情已然二刷，但实在太好哭了，终于在大银幕前完成对近十年最爱动漫的致敬。,positive,0.9568,zh,成功
吉永小百合,5,2025-02-22 05:21:57,1,三笠真的超级爱，我真的很不喜欢男主，从头到尾都不喜欢男主。兵长是我的男神。,positive,0.75,zh,成功
團媛,5,2025-08-31 09:16:48,1,写实动漫。进击巨人之力，就是巨大的权力，最后给世界带来巨大灾难。,negative,0.8563,zh,成功
黑白有离,5,2025-07-08 10:34:59,0,相当于又刷了一遍，不过，彩蛋里高高的兵长帅爆了，“能和你们一起看这个电影真的很开心，如果有一天他们出了续集，我们也一起去看吧”～致永远的自由之翼～,positive,0.9542,zh,成功
kuriri,5,2025-11-16 19:39:40,0,三笠最后砍头的心理活动： 没有让那天成为最后一面，太好了，艾伦，我们又见面了。,positive,0.8765,zh,成功
Diane,5,2025-10-31 16:35:27,0,一百年后的兵长成清洁工了,neutral,0.75,zh,成功
porco,5,2025-03-25 16:56:20,0,彩蛋好玩,positive,0.9567,zh,成功
寂静四肢桶,5,2025-04-23 19:41:08,0,感动之余还是好震撼，不知道什么时候还能看到这样的作品了，还有彩蛋里三人组里阿尔敏和三笠变成阴暗hot nerd男、哥特女挺可爱的。,positive,0.8765,zh,成功
骑馬追月亮,5,2024-11-28 23:16:31,0,5 这次是真的结束了，人设是否崩塌，剧情是否烂尾，伏笔是否收回，这些问题都已经不重要了，我只想由衷的对这部陪伴了我这么多年的作品说一声：谢谢,positive,0.9568,zh,成功
