username,rating,time,votes,comment,情感标签,情感置信度,文本语言,分析状态
原味乱码圣母,5,2025-02-13 14:00:09,1,其实看之前纠结了一晚上要不要找J一起去看，毕竟当时说好了要一起。但最后还是决定自己去，“不要再依赖对方的回应来验证这段回忆的价值”。,positive,0.8764,zh,成功
无情的打分机器,4,2025-07-06 10:43:05,0,二合一而已,neutral,0.5,zh,成功
十二封信,5,2025-03-23 21:42:47,0,aot真的太伟大了,positive,0.9876,en,成功
罗西基,4,2025-03-19 08:12:28,0,四星,positive,0.8,zh,成功
Cybermietail,5,2025-05-18 21:50:00,0,好棒的彩蛋，一百年后,positive,0.8764,zh,成功
因扎吉在看片,4,2025-05-05 23:10:08,2,艾伦以为杀了墙外80%的人，就能让帕拉迪岛获得自由，结果自己被女友三笠砍掉脑袋，20年后战争还是爆发了，帕拉迪岛依旧被夷为平地,negative,0.9543,zh,成功
纸躯,4,2025-02-12 14:52:47,1,在全场满座里重温一次最后篇章，还是在韩吉牺牲的时候流下眼泪。虽然坐了两个多小时只为了那几分钟的彩蛋，但是看到艾三阿三人组也跟我们一样，对着屏幕吃着爆米花，又觉得好像就是一星半点多的新物料也珍惜。我爱AOT. Cineplex. IV.,,,,失败：Expecting value: line 1 column 1 (char 0
JonDoe297,1,2025-09-10 15:14:45,1,军国主义倭人的狼子野心终究还是暴露了。 艾伦的坟头不过是另一种形式的靖国鬼厕罢了。一个甲级战犯搞得跟他妈圣人似的。 倭人对战争的核心反思永远只是自己在事后遭受了多少惩罚，而不是自己对受害者做过的错事。这种思想被包装美化成了“反战”，本质上实质上却只是“反战败”。,,,,失败：Expecting value: line 1 column 1 (char 0
微葉,5,2025-02-26 17:51:00,0,（隔天早上起来赶飞机还在后劲中…）2.25德国上映，买到了原声英字场次，还成功拉了一个朋友上车（两周补完四季她也是勇士qaq），进影院电子屏上上下下都是AOT海报，人头攒动有如粉丝包场，等待开播的影厅氛围也像过节。好笑的地方不管在哪个部分全场都会大笑，（我）痛苦的地方则听不到什么声音，不知道是隐没在了电影的声效中，还是只是沉默。倒是开场时此起彼伏的嚼爆米花声后来也基本消失了。我自己从两个小孩倒下的时候就控制不住眼泪了，以至于到后面只是持续在哭……且还不断有新的刺激加入：）离第一次看完结篇已经过了将近一年半，许多细节都不记得了，所以比如看见萨沙再次出现时几乎完全哽住。像敏说的，第一次看时更多是冲击，回顾尽是悲伤。エレン、いってらっしゃい。但是彩蛋真好，艾伦就是那样的孩子。为了孩子能走出森林。,positive,0.8765,zh,成功
第五次散步,5,2025-04-06 11:32:01,0,神作 最后能在电影院终结 也是最好的归宿 多希望那些只是一场电影 一场梦,positive,0.9542,zh,成功
E.W.,5,2025-02-02 23:55:55,0,贺岁档终于有一个能看的了 一个完结 画面很美,positive,0.8764,zh,成功
秋天的风,5,2025-03-29 22:28:41,0,非常棒，剧场版还有个挺有意思的彩蛋。,positive,0.9542,zh,成功
老贼,4,2025-04-04 11:11:44,0,这个影院版是最终季合集吧，看到阿伦和阿明深情对视还是以为他们要结吻,neutral,0.6543,zh,成功
小四不象,4,2025-06-09 12:50:33,0,片尾加了电影院的新彩蛋。,neutral,0.75,zh,成功
Erased,5,2025-02-13 16:26:40,0,十周年场 一个彩蛋值回一张电影票,positive,0.9562,zh,成功
CHeRiE,5,2025-02-06 15:44:34,0,彩蛋也好好看,positive,0.9876,zh,成功
n,2,2025-03-30 12:51:16,1,2分完全是给作画和分镜，也感谢动画组保留了 最后帕岛被夷为平地的结局，没看过漫画，但知道这个结局才看到的，PS没想到三立还结婚了，真的是跳梁小丑的剧情，没梗硬编后面的反转，如果在第三季结局就留白还好，非要填坑强行反转。最后恭喜阿尔敏获得绿卡,negative,0.8765,zh,成功
Hanly,5,2025-02-12 13:16:47,1,人类不是因为艾尔迪亚人存在才会互相残杀，而是因为人类天生就会制造敌人。 艾伦杀了80%的人，以为帕拉迪岛能获得自由，但20年后战争还是爆发了，帕拉迪岛依旧被夷为平地。世界的仇恨不会因为消灭一部分人就消失，它只会换个形式再回来。人类的问题从来不是「谁活着」，而是「如何活着」。 真想大喊「人类灭绝是必然的你少管！！」 看到最后又无可避免地流泪。人类还蛮可怜的，脆弱，仓皇，有所求，急迫，不得满足，像一群四处寻找庇护的、饥寒恐惧的羊。但人又是那样执拗，在一艘漏水的船上，肉眼可见愈来愈多的缝隙，明知是徒劳，可还是要尽自己所能去舀，用尽所有身躯去堵，和《卡拉马佐夫兄弟》里说的那样，「就是想活下去，我愣是活着，哪怕不合逻辑。」 我们人类自愿灭绝派早就看清了，不生孩子屁事没有，少生一个孩子就是挽救一条生命！,negative,0.8765,zh,成功
Aichimlt,5,2024-11-10 20:46:51,19,全影院上下哭成一片，我单方面宣布和谏山创和解。艾伦绝非小丑，巨人也不是我曾以为的历史循环论拥趸！只是可惜了国内的巨人粉们和粉转路转黑们，如果大家都能在影院里迎接这场迟来的和解该多好。,positive,0.8764,zh,成功
Lalalaland,4,2025-03-19 20:55:06,0,🎞️25.3.19新店裕隆城威秀 來到海的那邊，在一個想象中沒有限制的自由新世界，發現它並非我以為的那樣，然後坦然接受與試圖了解。 看完彩蛋，淚流滿面和角色們認真告別了。幾年來受到的創傷被毫無保留地看見與撫慰。 最觸動的還是有人看見落葉，有人看見棒球，“可能我就是為了與ta們一起奔跑的那一刻活著吧”“可能我就是為了和你玩拋接球才活著吧”。 也越來越切身體會到跨過仇恨的血海，嘗試去理解的力量，就像阿爾敏始終會去握住艾倫的手，擁抱他。這個世界越是分化與割裂，我們就渴望聯結。 而“一個像我這樣的蠢蛋，獲得了巨大力量”也是真的，世上有太多具有偽飾性的精明蠢蛋。 對三笠而言，親手斬斷執念下的支配，才獲得深深銘記的愛與自由。 賈碧法爾柯一起種樹致敬flipped，理解與重新開始。 但性別意識還是落後。,positive,0.9543,zh,成功
小狗月亮,5,2024-11-16 23:24:07,4,真的看哭了 也是我的11年啊。。最后的彩蛋好棒呜呜呜,positive,0.9543,zh,成功
六镇游泳健将,5,2024-11-11 08:45:01,2,"依然忘不了那个海以及团长那点私心。作为一个历史专业的人，永远都会有一个疑问,老师！墙的另外一边究竟是什么呢？现实与历史在漫画中交错，一部极其优秀的漫画，即使收尾有些仓促。 エルン～海だ！",positive,0.8765,zh,成功
wyl,5,2025-03-13 13:07:08,0,2025.3.13【MCL德福戲院】,neutral,0.95,zh,成功
ceci,5,2024-12-06 19:30:00,3,在电影院里哭成狗。抽到想要的特典心里又美滋滋🤣,positive,0.8763,zh,成功
糖醋橘猫儿,4,2025-02-28 06:25:24,0,彩蛋有意思,positive,0.9567,zh,成功
natsusou,5,2025-01-16 21:50:11,1,看得想死,negative,0.9562,zh,成功
キッドの彼女,5,2025-02-09 10:38:14,0,不是我有点受不了了进电影院发现就是前后篇拼在一起 崩溃了 直接转战隔壁影厅,negative,0.9568,zh,成功
misix,4,2025-03-22 23:22:32,0,完结撒花，从微小的故事中，切入和探讨大的问题，能够通过动画作品去表达和呈现关于战争的主题，看到人物在其中所坚守的信念，所做出的抉择，在音乐响起时，能够被燃到，动漫的魅力在此刻彰显,positive,0.9876,zh,成功
イチゴ🍓,未评分,2024-11-12 10:43:12,1,仙台TOHO。两个半小时静静地感受地鸣，战争，和平。韩吉的赴死看多少遍都会流泪。みんなみてるかな？这就是大家献出的心脏吧？电影院里始终有静静的抽泣声。承载了我十年的青春的作品，最后在电影院看完感慨万千……平行世界会是幸福的吧,positive,0.9567,zh,成功
这个真是周末呀,5,2025-04-01 14:58:27,0,再看一遍，哎，完美~,positive,0.9876,zh,成功
ギルバスター,5,2025-06-12 10:23:13,0,Epic. Japanese Grotesque/Sublime,positive,0.8567,en,成功
可可,5,2025-09-06 10:39:36,0,百年后他们会再遇见,neutral,0.75,zh,成功
逃跑吧兄弟,5,2025-05-27 22:45:55,0,神剧 对复杂人性的深刻解读,positive,0.9567,zh,成功
soyoungsogone,5,2025-02-27 06:50:59,0,只能说很难评,neutral,0.5,zh,成功
洋先森,4,2025-03-22 16:37:28,0,虽然艾伦以自己的死结束了巨人之力，但是世界的战争却并未因此而结束。现实世界何尝不是如此？但是只要有爱与信任，世界向着美好的方向发展也并非不可能。巨人无论看多少遍都是经典神番，艾伦与阿尔敏、三笠之间的友情永恒不灭。,positive,0.9567,zh,成功
MinamiKohtaro,3,2025-04-19 00:21:05,0,就看了最后三分钟的彩蛋,neutral,0.75,zh,成功
柳絮簌簌,4,2025-03-12 10:14:28,0,彩蛋还挺有意思的。,positive,0.8765,zh,成功
YY,5,2025-04-23 18:01:44,0,9.3,positive,0.95,zh,成功
利贺田电影院,5,2025-03-16 11:56:03,1,只是不断在接球投球，其中没有任何意义，但是只是这样，就已经让我很满足了，我会想我是为了投球而出生的。 下雨天看书的时候，看松鼠吃掉我给的树果的时候，大家一起逛市场的时候，这些平凡的时刻对我非常重要...那一天风非常暖和，光是跑着就很舒服，看着枯叶漫天飞舞，那时不知为何我突然觉得，我是为了和他们一起赛跑，才出生在这个世界上的...,positive,0.9542,zh,成功
Yahto,4,2025-04-01 02:47:16,0,8.0/10，进击的巨人最终季完结篇前篇+后篇+小彩蛋。,positive,0.85,zh,成功
bath time,未评分,2025-03-05 14:43:27,1,二月二十四日 震撼,positive,0.8765,zh,成功
食用炭素,5,2024-11-09 16:39:15,7,#TOHOすすきの 妈的，看过再看还是说不出话来。,negative,0.8543,zh,成功
绯泉,4,2025-01-17 10:56:27,1,4DX看的，被打得很惨，喷水喷风又喷烟w 看了豆瓣记录看到第三季结束 最终篇也看了后来又有最终完结篇前后没看。记忆缺失也很大，总之想知道个结尾。感觉还不错，血腥刺激反省反思固执，反正人和飞蛾扑火一样就是过程长一点罢了。,positive,0.7568,zh,成功
juni如,5,2025-02-11 16:32:31,0,伟大的作品 没有烂尾 满是震撼,positive,0.9876,zh,成功
tiggor,4,2025-03-31 23:39:07,0,等了十年。人生有几个十年？青春的电影，大师远去。我们也将远去。,negative,0.8567,zh,成功
梅里美精选集,未评分,2025-04-06 13:53:18,0,地鸣之后的导演剪辑版。结尾还有全新彩蛋，挺有意思的,positive,0.8764,zh,成功
。,未评分,2024-11-10 01:12:40,0,我大概是唯一一个不喜欢最后彩蛋的人，某种很生硬的安慰。@アポロシネマ,negative,0.8763,zh,成功
吃水果的牛牛,4,2025-02-06 16:25:02,1,在弗里茨王和艾伦之间，还有韩吉。如何成为像韩吉那样既不投降、也不疯狂，坚守正义的人，是我们每个人看完《进击的巨人》后都要不断思考的事。,positive,0.8764,zh,成功
滚滚大王,4,2025-06-05 22:57:26,0,动画版最终章的集合,neutral,0.75,zh,成功
キヨハル,5,2025-04-11 06:06:08,0,仍然很喜欢阿尔敏,positive,0.9568,zh,成功
程莎莎Abigail,4,2025-03-20 13:58:19,0,《进击的巨人》的结局以悲剧性的方式结束，但它通过探索战争、自由、牺牲等复杂主题，为观众提供了深刻反思空间。尽管争议不断，这一结局无疑是近年来最具影响力和讨论度的一部动画作品。 主角们承认自己的失败及其计划的不完美，反而增强了故事的人性深度～,,,,失败：Expecting value: line 1 column 1 (char 0
睡意昏沉,5,2025-05-06 15:10:44,0,艾伦，回到山坡上那棵树下吧……不管哪个世界，哪个时空，哪个梦里，都把自由当作最终一个词，Born free.,positive,0.8765,zh,成功
jessie,5,2025-01-20 12:05:16,0,爆哭～ 再看一遍还是爆哭～,positive,0.8765,zh,成功
Mystery,未评分,2025-02-12 03:27:13,1,2025/2/10 @Riverport 深夜影院～,neutral,0.7543,zh,成功
小宗,5,2025-04-03 13:30:26,0,人生没有什么意义的，最终只是实现自我的内心满足。改变不了世界，还是自我麻痹吧。,negative,0.8763,zh,成功
天仔突然,5,2025-02-13 11:09:08,0,十年一梦，就算不是最好的结局我也接受,positive,0.8563,zh,成功
momo,5,2025-03-23 13:57:22,0,"以十年全本为基础的总集，在Final Season, Final Chapters ,Part 1,Part2之后的最终的最终。世界摆脱了巨人的统治，但没有摆脱战争。态度再明确不过了吧。彩蛋的官方吐槽最为致命，观众真难伺候，留白不懂欣赏，直白又不合心意。",,,,失败：Expecting value: line 1 column 1 (char 0
都顺利平安幸福,5,2025-06-29 14:53:52,0,在日本去电影院看了3遍 真的是真爱了,positive,0.9876,zh,成功
巨啾,5,2025-01-16 13:55:13,3,有10颗星都想点爆！谏人你也知道是十年啊！用掉3张餐巾纸：韩吉赴死、吉克“要是能早点这么想该有多好啊”、血海中拥抱的兄弟情、简单环境下长大的木讷纯情小两口……😭😭😭😭😭😭😭😭😭😭,positive,0.9987,zh,成功
陶瓷木头,5,2024-11-08 19:43:05,10,"非常惊喜的总集篇。这下是不是真的再也没有巨人可以看了(╯︵╰,)",positive,0.8543,zh,成功
Wilbert,5,2025-03-03 05:29:06,0,也许我们所有人都只是为了某一个瞬间而出生的。所以看啊，今天的天气多好啊，要是能早点这么想就好了。,positive,0.7543,zh,成功
Breezy,3,2025-03-03 09:44:44,0,文戏太多,negative,0.7568,zh,成功
ouhou,5,2025-06-20 21:46:33,0,还是很震撼,positive,0.8765,zh,成功
404,5,2025-03-01 21:51:30,1,祝世界终有一天走出森林。最后彩蛋哭了，谏山创老师不仅自嘲了十多年创作等来的这个颇为争议的结局。让艾伦说了最艾伦的话，电影怎么样又怎么样呢，和你们一起看电影的时光很好，下次再约！,positive,0.8765,zh,成功
山河水,5,2025-09-13 04:46:10,0,我喜欢是因为这片讲了一个生死与共的爱情故事，三笠和艾伦本就该过完平凡快乐的一生。但追求自由就要破墙复仇，复仇中又面临新的复仇，可能就是每个人一生永远突破不了的叹息之墙吧,positive,0.8567,zh,成功
要努力存钱吖,5,2024-11-10 23:17:04,2,果然地鸣就得在电影院看，不枉我加了三百块选了大屏和声临其境的音效，超震撼！！！！韩吉死的时候周围好多人都在抹眼泪，虽然大概剧情都看过，但是当下还是沉浸进去了，几度快要掉小珍珠，得亏我日语不太好，在边打架边嘶吼的时候根本听不清在说啥，这一点帮我克制住了我的眼泪，好评！特典抽到了アルミン，许愿成功！,positive,0.9876,zh,成功
Surffer🏄🏽‍♂,5,2025-04-03 01:51:26,0,25.2.10 AMC Empire 25 也是CRiL正式成立的日子 新的人生阶段就此展开,positive,0.8764,zh,成功
xixixi.,5,2025-05-02 21:00:06,0,番外乖，一股大家都好好的的错觉,neutral,0.6543,zh,成功
面斥不雅,5,2025-04-25 21:14:24,0,不愧是神作,positive,0.9876,zh,成功
Miro,5,2024-11-30 12:23:24,8,走出电影院之后长舒一口气，虽然在家里已经看过一遍了，但这时候才有种真正完结了的感觉。 还记得初中的暑假用家里那台打LOL只有40帧的电脑第一次点开巨人的时候，真的非常惊艳。等到了开学发现好像所有人都在看巨人。 到了高中每周末和朋友去网吧，打完LOL之后看更新的巨人第二季。 大学的时候在寝室看完第三季兵长砍猴和白夜，兴奋地和室友说到半夜。 之后疫情在家，白天看看巨人最终季和其他电影，晚上和朋友边打游戏边聊。 直到几个月前窝在日本的小屋里，看完了巨人完结篇。 而现在，在看完电影之后，我回到家还是和朋友一起玩云顶之弈。 十一年，我的生活好像经历了天翻地覆的变化，又好像什么都没有变。很喜欢片尾彩蛋的部分，希望在接下来的十年，还能和大家一起再看到一些如此精彩完整的作品。 那真是太幸福了！,positive,0.9876,zh,成功
moe,5,2025-10-13 16:20:50,0,这回是真的结束了，一直不敢看，果然，看完很空虚。,negative,0.8765,zh,成功
白衣煮茶,5,2025-10-05 10:02:29,1,大结局前后篇的总集。结尾的彩蛋很暖心☺️,positive,0.9543,zh,成功
寵宝寶de人,4,2025-09-23 11:07:14,0,毁天灭地，巨人乱战，人类犹如蝼蚁。 探讨人性纷争,negative,0.8563,zh,成功
Silme,5,2025-02-09 13:05:17,0,250209 isquare英皇 离港前一定要挤时间看的电影。大概一辈子都忘不了巨人了。心臓を捧げよ！,positive,0.9543,zh,成功
我是可爱小仓鼠,5,2024-12-09 23:42:22,1,我直接五星,positive,0.9987,zh,成功
心地心地心地,5,2024-11-12 23:40:35,4,抱头痛哭,negative,0.8765,zh,成功
Sigyn,4,2024-11-14 18:46:40,3,怎么说呢 也是从第一季第一集刚出就看了，也懒得骂了，但是最后的彩蛋我很不理解，这和梦结局有什么区别啊？这对故事中伟大的牺牲是亵渎。,negative,0.8764,zh,成功
野草球,5,2025-01-26 12:54:26,0,MX4D有爽到,positive,0.8765,zh,成功
東急亞雪,5,2025-03-29 20:41:28,0,無論再看多少次都會哭成豬頭。,positive,0.8765,zh,成功
Desmond,4,2024-12-15 19:06:53,1,三星半，最后半星致敬情怀和当年追剧的日子。结局崩坏的还是很严重，跟饥饿游戏，权力的游戏，盗墓笔记差不多，结局是对鲁鲁修2拙劣的模仿。估计作者被各种政治和舆论压力逼着改了结局。或许不完美 才是大部分神作的归宿。相较之下，鲁鲁修和三体这种保持到最后的神作实属不易。 2024/12/15 T-JOY UMEDA,negative,0.7568,zh,成功
7amb,5,2025-03-23 20:43:21,0,上次看大结局的时候还在笑着感叹人类的争斗永不止息，这次竟然有些泪目。想到的是反而是他通过自我牺牲为人类带来了长久的和平，哪怕最后人类仍会走向同归于尽。而彩蛋的彩蛋，艾伦说道：“很高兴和你们一起看电影，开心到，下次还想！”去爱吧，去爱啊哪怕最后是砍下对方的头颅！,positive,0.8765,zh,成功
Joker_d,4,2025-02-16 19:45:32,0,竟然还不错 可见Mappa功力深厚 兵长残了我哭死,positive,0.8764,zh,成功
萧音冷羽,5,2025-06-08 23:42:44,0,最后的天地之战，悲壮而惨烈，尽管不少人诟病于巨人后期有烂尾之嫌，我是觉得这部跨世纪的神作以这样的方式结尾，已经很好了。最后三笠的那句：艾伦 谢谢你为我围上这条围巾，瞬间都泪崩！,positive,0.8764,zh,成功
🤪,4,2025-02-17 09:01:28,0,MD 为什么烂尾？不然就是我2024年唯一一部全五星了！全十星我也愿意！最后十分钟莫名其妙啊我去！艾伦的终结戛然而止，怎么对得起所有那些壮烈牺牲。我对三笠与艾伦最终对峙的期待，如同等待整个宇宙覆灭人神共损只留唯一不变的那条真理，居然啥也没有，回归日式温情小清新，赔我的眼泪！最终仍是对人类悲观。人类愚蠢循环往复。我同意。PS：我不确定《哪吒2》在多伦多有多火，我只知道这部电影买不到票，所有场次都没票。今天多伦多下瓢泼大雪，开场前半小时有人退票，我才买到一张。坐我右边那位姑娘，泪流不止。,,,,失败：Expecting value: line 1 column 1 (char 0
斯卡哈的卡,5,2025-11-20 18:48:58,0,看到完结篇 百感交集 艾伦最后也没实现所谓的自由 战争仍在持续 但还是会觉得怅然若失 毕竟看了这么久 最后结尾是这般模样 很是伤神,negative,0.8765,zh,成功
SoundofSilence,5,2025-05-20 10:56:11,0,永远的种群竞争矛盾,negative,0.8563,zh,成功
ंह,5,2025-03-27 00:16:00,0,永远的神作，在我心目中无可撼动的地位！！！,positive,0.9987,zh,成功
大冬瓜岩羊,5,2025-01-20 20:08:30,0,虽然但是 塔塔开！,positive,0.7568,zh,成功
跳舞的大脚趾,5,2025-02-26 21:45:08,0,@香港MCL Airside。在影厅又找到了心脏献出去的感觉,positive,0.8765,zh,成功
痞狸,4,2025-07-19 14:43:51,0,结局有彩蛋,positive,0.7568,zh,成功
滴滴滴滴笛姐,5,2025-06-13 18:09:11,0,全部看完了再回来打的分,neutral,0.5,zh,成功
lullprint69,5,2025-11-17 20:44:12,0,三笠觉悟好高啊不愧是天崩开场直接幻觉烧尽的人我的爱~~谏山创二十几岁世界观就这么成熟好感动啊~~,positive,0.9876,zh,成功
东南五环卡比兽,5,2025-05-20 07:04:26,0,又刷一遍，真是激烈,positive,0.8567,zh,成功
海底乒乓,5,2024-11-08 16:03:02,9,韩吉...吼猴...哭得停不下来，总集篇是来影院上香的心情。看到彩蛋差点以为是剧组pa的胜利，但是发生过的果然就没法抹除啊。眼看墓碑变成碎石，不毛的荒地建起高楼又坍塌，被循环困住然后在挣脱的同时落入另一个循环；历史是人类不知反省的罪证，追逐自由幻影终被自由所困。,,,,失败：Expecting value: line 1 column 1 (char 0
凯哥,5,2025-05-30 00:05:22,0,真不愧是神作，即使是已经看过剧版，仍觉得这部影版非常优秀,,,,失败：HTTPSConnectionPool(host='api.deepseek.c
鬼咁叻,3,2025-06-17 22:50:57,0,这是将最终季的前篇和后篇合在一起，只需剪在一起，就是一部新的片子，强行多刷一部，简直经济学大师。看过前后篇的可以不看了。,,,,失败：HTTPSConnectionPool(host='api.deepseek.c
DesmondDoss,5,2025-04-26 01:17:24,0,是不是看过？只是视角切换了一下。,neutral,0.75,zh,成功
繁星静语,4,2025-04-09 23:32:22,0,整体还是挺好看的，或许剧情一直围绕着那句经典的台词，如果什么都不能放弃，就什么都改变不了。剧情比较紧凑，有一些剧情反转的地方，对人物的刻画，对自由哲学的思考，对人性的展现都非常有独特的见解，这或许就是这部动漫高分的原因吧。,positive,0.9568,zh,成功
Happy,3,2025-04-08 08:08:05,0,不知道为啥评价这么高，时隔这么长时间再看这部剧，已经没有了当时的激动心情，感觉很一般。,negative,0.8764,zh,成功
Clark,5,2025-04-03 12:37:04,0,最特别的一次4dx体验。最后的彩蛋真的很温柔。,positive,0.9236,zh,成功
lovestar,4,2025-05-16 04:53:14,0,用了10年收尾，看得出来收的辛苦，但讲得通。走进不死境界的应该成神了，本来对人间闲事未必那么投入，而此片掌握神力的那几位总觉得只是日式的冤魂啊。,neutral,0.6543,zh,成功
细嗅蔷薇,2,2025-08-10 21:51:42,0,垃圾剧，已弃,negative,0.9876,zh,成功
Bipolar,4,2025-03-09 19:24:29,0,大坑在十年前竟已填平,neutral,0.5,zh,成功
King Arthur,4,2025-02-12 03:37:14,0,虽然是圈钱的合集篇，但也是大屏幕上看了巨人了，画面应该是有所修复，大屏幕上看着也及格。最后的彩蛋原来是自己吐槽自己（难道不就是承认自己结局不尽人意所以出来打个圆场吗hhh），不过三个人的平行世界真的很温馨。 #Regal Irvine Spectrum,positive,0.7568,zh,成功
月牙天冲。,4,2025-02-11 17:56:39,0,2025.02.10。,neutral,0.9999,zh,成功
静言荷堂,5,2025-06-03 23:20:06,0,兄弟俩寓意大自然“暴力的生之欲”和“平静的死之必然”,neutral,0.75,zh,成功
Zelpha,5,2025-01-21 01:05:46,0,跟朋友在HK看的，艾尔文限时返场两次均泪目。好几处蒙太奇都喜欢。,positive,0.9236,zh,成功
看会儿电影儿👀,5,2025-03-02 00:02:12,2,一切都是一个莫比乌斯环，所有人都在推向艾伦走向“地鸣”这条道路，是一个好故事，但是我还不能接受这个结局。其实看到后面我在想这个世界都这么烂了，大家一起死掉吧，可是对于艾伦来说，这个世界还有他爱的人，他的伙伴朋友，他得去守护他们。可能是最残忍的结局，但其实是最好的结局了。,positive,0.7568,zh,成功
無需男人姐有手,5,2025-10-21 19:25:17,0,真的爆哭啊！！！,positive,0.8567,zh,成功
松月奇妙物语,5,2025-03-08 22:12:37,1,开玩笑，看完它以后再也没有追动画片的动力了，爷青结,negative,0.8765,zh,成功
艾诶恩,5,2025-03-10 20:59:50,1,心祖屋撒撒给！！！,negative,0.7563,ja,成功
小影,5,2025-02-11 16:48:33,0,2012到美国时开始看巨人，一路从漫画完结到动画完结，最后2015年能在电影院看到最终话的电影版，还是感慨万千…最后特别加了一小段，也是为了回应各种争议吧，作者也是不容易…,positive,0.8764,zh,成功
